notification_id,kind,member_id,member_name,message,created_at,read_at,batch_id
1,一般募集,1,管理者,新しい作業募集が4件あります。,2026-07-21 15:46,,
2,一般募集,2,小泉 智海,新しい作業募集が4件あります。,2026-07-21 15:46,2026-07-21 16:02,
3,一般募集,4,川口 恵美子,新しい作業募集が4件あります。,2026-07-21 15:46,,
4,一般募集,5,中島 君夫,新しい作業募集が4件あります。,2026-07-21 15:46,2026-07-21 16:05,
5,一般募集,6,本橋 成男,新しい作業募集が4件あります。,2026-07-21 15:46,,
6,一般募集,1,管理者,新しい作業募集が1件あります。,2026-07-21 16:19,,2
7,一般募集,2,小泉 智海,新しい作業募集が1件あります。,2026-07-21 16:19,2026-07-21 16:35,2
8,一般募集,4,川口 恵美子,新しい作業募集が1件あります。,2026-07-21 16:19,2026-07-21 20:30,2
9,一般募集,5,中島 君夫,新しい作業募集が1件あります。,2026-07-21 16:19,2026-07-21 16:33,2
10,一般募集,6,本橋 成男,新しい作業募集が1件あります。,2026-07-21 16:19,2026-07-21 16:35,2
11,一般募集,1,管理者,新しい作業募集が1件あります。,2026-07-21 16:32,,3
12,一般募集,2,小泉 智海,新しい作業募集が1件あります。,2026-07-21 16:32,2026-07-21 16:35,3
13,一般募集,4,川口 恵美子,新しい作業募集が1件あります。,2026-07-21 16:32,2026-07-21 20:30,3
14,一般募集,5,中島 君夫,新しい作業募集が1件あります。,2026-07-21 16:32,2026-07-21 16:33,3
15,一般募集,6,本橋 成男,新しい作業募集が1件あります。,2026-07-21 16:32,2026-07-21 16:35,3
16,一般募集,1,管理者,新しい作業募集が1件あります。,2026-07-21 16:40,,4
17,一般募集,2,小泉 智海,新しい作業募集が1件あります。,2026-07-21 16:40,2026-07-21 17:13,4
18,一般募集,4,川口 恵美子,新しい作業募集が1件あります。,2026-07-21 16:40,2026-07-21 20:30,4
19,一般募集,5,中島 君夫,新しい作業募集が1件あります。,2026-07-21 16:40,2026-07-21 16:50,4
20,一般募集,6,本橋 成男,新しい作業募集が1件あります。,2026-07-21 16:40,2026-07-21 16:40,4
21,一般募集,1,管理者,新しい作業募集が3件あります。,2026-07-21 17:00,,5
22,一般募集,2,小泉 智海,新しい作業募集が3件あります。,2026-07-21 17:00,2026-07-21 17:13,5
23,一般募集,4,川口 恵美子,新しい作業募集が3件あります。,2026-07-21 17:00,2026-07-21 20:30,5
24,一般募集,5,中島 君夫,新しい作業募集が3件あります。,2026-07-21 17:00,2026-07-21 20:58,5
25,一般募集,6,本橋 成男,新しい作業募集が3件あります。,2026-07-21 17:00,2026-07-21 17:01,5
26,一般募集,1,管理者,新しい作業募集が1件あります。,2026-07-21 20:55,,6
27,一般募集,2,小泉 智海,新しい作業募集が1件あります。,2026-07-21 20:55,,6
28,一般募集,4,川口 恵美子,新しい作業募集が1件あります。,2026-07-21 20:55,2026-07-21 20:57,6
29,一般募集,5,中島 君夫,新しい作業募集が1件あります。,2026-07-21 20:55,2026-07-21 20:58,6
30,一般募集,6,本橋 成男,新しい作業募集が1件あります。,2026-07-21 20:55,,6
31,一般募集,1,管理者,新しい作業募集が4件あります。,2026-07-21 21:23,,7
32,一般募集,2,小泉 智海,新しい作業募集が4件あります。,2026-07-21 21:23,,7
33,一般募集,4,川口 恵美子,新しい作業募集が4件あります。,2026-07-21 21:23,,7
34,一般募集,5,中島 君夫,新しい作業募集が4件あります。,2026-07-21 21:23,,7
35,一般募集,6,本橋 成男,新しい作業募集が4件あります。,2026-07-21 21:23,,7
36,一般募集,1,管理者,新しい作業募集が2件あります。,2026-07-22 11:20,,8
37,一般募集,2,小泉 智海,新しい作業募集が2件あります。,2026-07-22 11:20,,8
38,一般募集,4,川口 恵美子,新しい作業募集が2件あります。,2026-07-22 11:20,,8
39,一般募集,5,中島 君夫,新しい作業募集が2件あります。,2026-07-22 11:20,,8
40,一般募集,6,本橋 成男,新しい作業募集が2件あります。,2026-07-22 11:20,,8
